	domain	domain_len	domain_precison	fold_imp	pos_frac	pos_num	prob
152	Histone	93	0.6666666666666666	3.4666666666666663	0.16129032258064516	6	0.05
153	T-box	179	1.0	6.16	0.13966480446927373	5	0.05
154	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.05
155	TPR_17	32	0.0	0.0	0.125	1	0.05
156	Exo_endo_phos	149	1.0	17.625	0.053691275167785234	1	0.05
157	zf-H2C2_5	24	1.0	0.6	0.625	1	0.05
158	GATA	33	0.5263157894736842	0.5592105263157895	0.48484848484848486	19	0.05
159	Ets	81	0.5227272727272727	1.170909090909091	0.30864197530864196	44	0.05
160	Helicase_C	55	0.0	0.0	0.21818181818181817	3	0.05
161	Pou	69	0.45454545454545453	1.2878787878787878	0.2608695652173913	22	0.05
162	zf-C4	56	0.6428571428571429	1.2518796992481205	0.3392857142857143	14	0.05
163	bZIP_1	63	0.5	1.75	0.2222222222222222	28	0.05
164	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.05
165	Forkhead	72	0.7	2.45	0.2222222222222222	10	0.05
166	zf-CCHC	17	0.75	1.0714285714285714	0.4117647058823529	8	0.01
167	CSD	66	0.6666666666666666	2.2666666666666666	0.22727272727272727	6	0.01
168	HMG_box	51	0.6666666666666666	0.6933333333333332	0.49019607843137253	30	0.01
169	MH1	91	0.3076923076923077	1.8461538461538463	0.14285714285714285	13	0.01
170	KH_1	48	0.4	2.342857142857143	0.14583333333333334	5	0.01
171	HLH	49	0.5	0.7894736842105263	0.3877551020408163	36	0.01
172	zf-CXXC	46	0.6086956521739131	1.0383631713554988	0.3695652173913043	23	0.01
173	Histone	93	0.46153846153846156	2.4	0.16129032258064516	13	0.01
174	T-box	179	0.8333333333333334	5.133333333333334	0.13966480446927373	12	0.01
175	zf-H2C2_2	13	1.0	0.3	0.7692307692307693	1	0.01
176	TPR_17	32	0.0	0.0	0.125	1	0.01
177	Exo_endo_phos	149	0.3333333333333333	5.875	0.053691275167785234	3	0.01
178	zf-H2C2_5	24	1.0	0.6	0.625	4	0.01
179	GATA	33	0.5555555555555556	0.5902777777777778	0.48484848484848486	27	0.01
180	Ets	81	0.4339622641509434	0.9720754716981131	0.30864197530864196	53	0.01
181	Helicase_C	55	0.0	0.0	0.21818181818181817	3	0.01
182	Pou	69	0.3488372093023256	0.9883720930232558	0.2608695652173913	43	0.01
183	TPR_1	33	0.5	2.25	0.18181818181818182	2	0.01
184	zf-C4	56	0.5909090909090909	1.1507177033492824	0.3392857142857143	22	0.01
185	bZIP_1	63	0.45161290322580644	1.5806451612903227	0.2222222222222222	31	0.01
186	Homeobox	9	1.0	0.125	0.8888888888888888	8	0.01
187	Forkhead	72	0.5714285714285714	2.0	0.2222222222222222	14	0.01
188	RNase_T	114	1.0	6.6	0.13157894736842105	1	0.01
189	Myb_DNA-bind_6	48	1.0	3.0	0.25	2	0.01
